Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,139654,-,-,-,37.89,-122.26,0,159,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2006,1,1,0,0,11.8,0.39,0.046,0.67,43,530,127,0,0,9.8,43,530,0,127,0.277,87.83,80.92,0.96,0.11,993,1.2,244,2.7,0,0,,,,,,,,,,,,,,,,
2006,1,1,0,30,11,0.39,0.046,0.67,27,322,52,0,0,9.9,27,322,0,52,0.277,92.68,85.61,0.96,0.11,994,1.2,239,2.5,0,0,,,,,,,,,,,,,,,,
2006,1,1,1,0,10.2,0.4,0.047,0.67,0,0,0,0,0,9.8,0,0,0,0,0.277,97.65,90.84,0.96,0.11,994,1.2,234,2.2,0,0,,,,,,,,,,,,,,,,
2006,1,1,1,30,9.9,0.4,0.047,0.67,0,0,0,0,1,9.9,0,0,0,0,0.277,99.72,96.13,0.96,0.11,995,1.3,228,2.1,0,0,,,,,,,,,,,,,,,,
2006,1,1,2,0,9.6,0.4,0.049,0.67,0,0,0,0,1,9.6,0,0,0,0,0.277,100,101.59,0.96,0.11,995,1.3,221,2.1,0,0,,,,,,,,,,,,,,,,
2006,1,1,2,30,9.5,0.4,0.049,0.67,0,0,0,0,1,9.5,0,0,0,0,0.276,100,107.21,0.96,0.11,996,1.3,214,2.1,0,0,,,,,,,,,,,,,,,,
2006,1,1,3,0,9.3,0.42,0.047,0.67,0,0,0,0,1,9.3,0,0,0,0,0.276,100,112.95,0.96,0.11,996,1.3,207,2.2,0,0,,,,,,,,,,,,,,,,
2006,1,1,3,30,9.2,0.42,0.047,0.67,0,0,0,0,4,9.2,0,0,0,0,0.275,100,118.78,0.95,0.11,996,1.3,201,2.2,0,0,,,,,,,,,,,,,,,,
