timestamp,actual_power_mw,capacity_factor,DA_power_mw,HA4_power_mw,GHI,DNI,DHI,Clearsky GHI,Clearsky DNI,Clearsky DHI,Solar Zenith Angle,Temperature,Relative Humidity,Wind Speed,clearsky_index,dni_clearsky_index,dhi_clearsky_index,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos,cloud_type_0,cloud_type_1,cloud_type_2,cloud_type_3,cloud_type_4,cloud_type_5,cloud_type_6,cloud_type_7,cloud_type_8,cloud_type_9,cloud_type_10,cloud_type_11,cloud_type_12
2006-01-01 00:00,0,0,0,0,0,0,0,0,0,0,164.765,8.35,100,2.85,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01 01:00,0,0,0,0,0,0,0,0,0,0,159.845,8.15,100,2.9,0,0,0,0.25881905,0.96592583,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01 02:00,0,0,0,0,0,0,0,0,0,0,149.865,7.95,100,2.95,0,0,0,0.5,0.8660254,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01 03:00,0,0,0,0,0,0,0,0,0,0,138.42,7.7,100,3.15,0,0,0,0.70710678,0.70710678,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2006-01-01 04:00,0,0,0,0,0,0,0,0,0,0,126.625,7.75,99.99,3.7,0,0,0,0.8660254,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2006-01-01 05:00,0,0,0,0,0,0,0,0,0,0,114.885,8.05,95.975,4.3,0,0,0,0.96592583,0.25881905,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2006-01-01 06:00,0,0,0,0,0,0,0,0,0,0,103.45,8.55,92.9,4.55,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 07:00,0,0,0.8,0,0,0,0,0,0,0,92.35,9.55,91.065,5.65,0,0,0,0.96592583,-0.25881905,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 08:00,0.15,0.00625,6.6,6.6,14,0,14,91,324,44.5,82.45,10.65,89.91,6.85,0.15384615,0,0.31460674,0.8660254,-0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 09:00,1.03333333,0.04305556,10.9,10.9,33,0,32.5,235.5,581.5,72,73.79,11.45,89.45,7.35,0.14012739,0,0.45138889,0.70710678,-0.70710678,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 10:00,1.825,0.07604167,13.4,0.4,37.5,0,37,361,703.5,84,66.885,11.95,88.765,7.4,0.10387812,0,0.44047619,0.5,-0.8660254,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2006-01-01 11:00,0.10833333,0.00451389,5.5,3.1,52,0.5,52,438.5,743,94.5,62.415,12.15,90.03,7.05,0.11858609,0.00067295,0.55026455,0.25881905,-0.96592583,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 12:00,0.09166667,0.00381944,6.3,0.6,112,4,109.5,466.5,761,97,60.93,12.3,91.24,6.55,0.24008574,0.00525624,1.12886598,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 13:00,4.54166667,0.18923611,7,0,209.5,50.5,186,430,706.5,105.5,62.64,12.35,92.38,6.3,0.4872093,0.07147912,1.76303318,-0.25881905,-0.96592583,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2006-01-01 14:00,1.25833333,0.05243056,4,0.2,84,3.5,82.5,347.5,654,95,67.315,12.45,94.05,5.75,0.24172662,0.00535168,0.86842105,-0.5,-0.8660254,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2006-01-01 15:00,0,0,0,1.8,57.5,3,57,224.5,556.5,73,74.37,12.6,96.63,4.8,0.25612472,0.00539084,0.78082192,-0.70710678,-0.70710678,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 16:00,0,0,0,0,11,0,11,83,321.5,40,83.13,12.45,98.9,3.9,0.13253012,0,0.275,-0.8660254,-0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 17:00,0,0,0,0,0,0,0,0,0,0,93.06,11.95,99.11,3.1,0,0,0,-0.96592583,-0.25881905,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 18:00,0,0,0,0,0,0,0,0,0,0,104.27,11.35,98.87,2.75,0,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 19:00,0,0,0,0,0,0,0,0,0,0,115.725,10.7,97.415,2.5,0,0,0,-0.96592583,0.25881905,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2006-01-01 20:00,0,0,0,0,0,0,0,0,0,0,127.48,10.25,97.305,2.1,0,0,0,-0.8660254,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2006-01-01 21:00,0,0,0,0,0,0,0,0,0,0,139.265,9.95,98.42,2,0,0,0,-0.70710678,0.70710678,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
